Type,Type_spc,Specification,Product,Weburl
iEseries,"體積更輕薄,配色更時尚主機板具有防侵蝕,RS-485隔離保護功能","4.3""480x272TFTLCD,LED背光薄型輕量化設計機身無風扇冷卻系統COM1及COM3RS-4852W支持MPI187.5K同時間請擇一使用主機板塗布保護處理在嚴苛的環境中，能防止腐蝕內建電源隔離NEMA4/IP65前面板防護等級",MT8050iE,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=503
iEseries,"體積更輕薄,配色更時尚主機板具有防侵蝕,RS-486隔離保護功能","7""800x480TFTLCD,LED背光薄型輕量化設計機身無風扇冷卻系統COM1及COM3RS-485雙隔離保護設計在複雜的接地環境中，能保障穩定的運作COM1及COM3RS-4852W支持MPI187.5K同時間請擇一使用主機板塗布保護處理在嚴苛的環境中，能防止腐蝕NEMA4/IP65前面板防護等級",MT8070iE,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=503
iEseries,"體積更輕薄,配色更時尚主機板具有防侵蝕,RS-487隔離保護功能","7""800x480TFTLCD,LED背光無風扇冷卻系統COM2及COM3RS-485支援MPI187.5K同時間請擇一使用主機板塗布保護處理在嚴苛的環境中，能防止腐蝕內建電源隔離NEMA4/IP65前面板防護等級",MT8071iE,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=503
iEseries,"體積更輕薄,配色更時尚主機板具有防侵蝕,RS-488隔離保護功能","10.1""1024x600TFTLCD,LED背光無風扇冷卻系統COM2及COM3RS-4852W支援MPI187.5K同時間請擇一使用主機板塗布保護處理在嚴苛的環境中，能防止腐蝕內建電源隔離NEMA4/IP65前面板防護等級",MT8102iE,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=503
XEseries,"12""/15""大尺寸鋁合金外殼9.7""中尺寸高解析度塑殼機型","9.7""1024x768TFTLCD,LED背光無風扇冷卻系統內建512MB快閃記憶體支援USBHostCOM2及COM3RS-4852W支援MPI187.5K同時間請擇一使用內建電源隔離NEMA4/IP65前面板防護等級",MT8090XE,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=502
XEseries,"12""/15""大尺寸鋁合金外殼9.8""中尺寸高解析度塑殼機型","12.1""1024x768寬視角LCD,LED背光薄型輕量化設計機身無風扇冷卻系統內建256MB快閃記憶體支援SD卡擴充儲存容量支援USBHost與USBClientCOM1及COM3RS-485內建隔離保護線路COM1及COM3RS-4852W支持MPI187.5K同時間請擇一使用*內建電源隔離NEMA4/IP65前面板防護等級",MT8121XE3,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=502
Gatewayseries,連接IT/OT的橋樑輕鬆獲取各式設備數據支援工業標準通訊協定，解決PLC眾多廠牌之間整合不易的問題快速、簡單完成建置圖像化的設定介面，只需幾個步驟即完成設定，無須繁瑣的建置流程用途廣，負荷小有了GatewaySeries，輕鬆實現IIoT應用，且無需昂貴成本,支援OPCUA支援MQTT支援MODBUSTCP/IP閘道功能薄型輕量設計並可使用鋁軌固定無風扇冷卻系統內建256MB儲存記憶體支援MPI187.5K內建電源隔離,cMT-G01,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=500
Gatewayseries,連接IT/OT的橋樑輕鬆獲取各式設備數據支援工業標準通訊協定，解決PLC眾多廠牌之間整合不易的問題快速、簡單完成建置圖像化的設定介面，只需幾個步驟即完成設定，無須繁瑣的建置流程用途廣，負荷小有了GatewaySeries，輕鬆實現IIoT應用，且無需昂貴成本,支援OPCUA支援MQTT支援MODBUSTCP/IP閘道功能薄型輕量設計並可使用鋁軌固定無風扇冷卻系統內建256MB儲存記憶體支援MPI187.5KWiFi802.11b/g/n無線網路內建電源隔離寬輸入電壓範圍10.5~28VDC,cMT-G02,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=500
Gatewayseries,連接IT/OT的橋樑輕鬆獲取各式設備數據支援工業標準通訊協定，解決PLC眾多廠牌之間整合不易的問題快速、簡單完成建置圖像化的設定介面，只需幾個步驟即完成設定，無須繁瑣的建置流程用途廣，負荷小有了GatewaySeries，輕鬆實現IIoT應用，且無需昂貴成本,支援序列埠橋接，無須修改現有的PLC和HMI程式即能升級現有的序列埠控制器或觸控屏幕COM1與COM2之間可穿透通訊支援OPCUA及MQTT薄型輕量設計並可使用鋁軌固定無風扇冷卻系統內建256MB儲存記憶體支援MPI187.5K內建電源隔離寬輸入電壓範圍10.5~28VDC,cMT-G03,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=500
Gatewayseries,連接IT/OT的橋樑輕鬆獲取各式設備數據支援工業標準通訊協定，解決PLC眾多廠牌之間整合不易的問題快速、簡單完成建置圖像化的設定介面，只需幾個步驟即完成設定，無須繁瑣的建置流程用途廣，負荷小有了GatewaySeries，輕鬆實現IIoT應用，且無需昂貴成本,"內建乙太網路交換器，可節省佈線成本，SW1與SW2方便連接現有的HMI和PLC,不需要外加乙太網路交換器，而LAN則連接辦公室或工廠網路支援OPCUA與MQTT薄型輕量設計並可使用鋁軌固定無風扇冷卻系統內建256MB儲存記憶體內建電源隔離寬輸入電壓範圍10.5~28VDC",cMT-G04,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=500
Gatewayseries,連接IT/OT的橋樑輕鬆獲取各式設備數據支援工業標準通訊協定，解決PLC眾多廠牌之間整合不易的問題快速、簡單完成建置圖像化的設定介面，只需幾個步驟即完成設定，無須繁瑣的建置流程用途廣，負荷小有了GatewaySeries，輕鬆實現IIoT應用，且無需昂貴成本,支援SECS/GEM(符合GEM規範)支援電路板設備標準通訊協定-PCBECI支援OPCUA與MQTT支援MODBUSTCP/IPGateway薄型輕量設計並可使用鋁軌固定無風扇冷卻系統內建256MB儲存記憶體支援SD卡擴充儲存容量支援USBHost埠支援MPI187.5K內建電源隔離,cMT-G05,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=500
Gatewayseries,連接IT/OT的橋樑輕鬆獲取各式設備數據支援工業標準通訊協定，解決PLC眾多廠牌之間整合不易的問題快速、簡單完成建置圖像化的設定介面，只需幾個步驟即完成設定，無須繁瑣的建置流程用途廣，負荷小有了GatewaySeries，輕鬆實現IIoT應用，且無需昂貴成本,支援SECS/GEM(符合GEM規範)支援電路板設備標準通訊協定–PCBECI支援OPCUA與MQTT支援MODBUSTCP/IPGateway薄型輕量設計並可使用鋁軌固定無風扇冷卻系統內建256MB儲存記憶體支援SD卡擴充儲存容量支援USBHost埠支援MPI187.5K內建電源隔離WiFi802.11b/g/n無線網路寬輸入電壓範圍10.5~28VDC,cMT-G06,http://www.yiliang.com.tw/zh-tw/product.php?act=view&id=500
